run_index,voted_redundant_blocks,num_voted_blocks
49,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,48,49,50,52",18
50,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,49,52",18
51,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,50,52",19
52,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,50,52",19
53,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,49,52",19
54,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,49,50,52",19
55,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,49,50,52",19
56,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,52",18
57,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,50,52",18
58,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,48,50,52",19
59,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,48,49,52",20
60,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,52",19
61,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,50,52",18
62,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,48,49,52",19
63,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,52",18
64,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,49,52",16
65,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,50,52",20
66,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,42,48,52",17
67,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,42,49,50,52",19
68,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,50,52",18
69,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",16
70,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,48,50,52",17
71,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,48,49,50,52",18
72,"6,22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,48,49,52",19
73,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,49,50,52",18
74,"22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,48,49,50,52",19
75,"6,22,24,25,26,27,28,29,30,31,32,33,35,39,40,41,48,52",18
76,"22,24,25,26,27,28,29,30,31,32,33,39,40,41,48,52",16
77,"22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,42,48,49,50,52",21
78,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,42,49,52",17
79,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,49,52",18
80,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,48,52",16
81,"6,22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,42,48,49,52",20
82,"22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,50,52",18
83,"22,24,25,26,27,28,29,30,31,32,33,35,39,40,48,49,52",17
84,"22,24,25,26,27,28,29,30,31,32,33,39,40,48,50,52",16
85,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,52",16
86,"22,24,25,26,27,28,29,30,31,32,33,34,39,40,48,49,50,52",18
87,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,49,52",17
88,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,50,52",16
89,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,42,48,49,50,52",19
90,"6,22,24,25,26,27,28,29,30,31,32,33,34,35,38,39,40,48,50,52",20
91,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,52",16
92,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,42,48,50,52",18
93,"6,22,24,25,26,27,28,29,30,31,32,33,38,39,40,49,52",17
94,"6,22,24,25,26,27,28,29,30,31,32,33,35,38,39,40,50,52",18
95,"22,24,25,26,27,28,29,30,31,32,33,38,39,40,48,49,50,52",18
96,"22,24,25,26,27,28,29,30,31,32,33,34,38,39,40,42,48,49,50,52",20
97,"6,22,24,25,26,27,28,29,30,31,32,33,39,40,50,52",16
98,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,42,49,52",18
99,"22,24,25,26,27,28,29,30,31,32,33,34,35,39,40,50,52",17
100,"22,24,25,26,27,28,29,30,31,32,33,35,39,40,48,49,50,52",18
